"ACCID","STATEMENTID","TX_ID","TX_DATE","AMOUNT","DESCRIPTION","CATEGORY",
"150097","90","53","2014-10-21","-59.00","AMEX TRAVEL","FOREX",
"150097","90","54","2014-10-25","-242.00","BROOKSHIRE BROTHERS","SHOPPING",
"150097","90","55","2014-10-30","-199.00","CAFE ROUGE","EATING OUT",
"150097","90","56","2014-10-30","-227.00","NOVOTEL BANGKOK","ACCOMODATION",
"150097","91","57","2014-11-01","-54.00","WEGMANS","SHOPPING",
"150097","91","58","2014-11-01","-127.00","MAPLIN","SHOPPING",
"150097","91","59","2014-11-04","-74.00","RALEY'S","ONLINE SHOPPING",
"150097","91","60","2014-11-04","-234.00","CLARKS SHOES LIMIT","SHOPPING",
"150097","91","61","2014-11-09","-279.00","TESCO STORES","GROCERIES",
"150097","91","62","2014-11-10","-324.00","SMART & FINAL","SHOPPING",
"150097","91","63","2014-11-13","-149.00","WILKINSON","SHOPPING",
"150097","91","64","2014-11-13","-131.00","EL SUPER","GROCERIES",
"150097","91","65","2014-11-15","-75.00","SUNFRESH","SHOPPING",
"150097","91","66","2014-11-16","-220.00","MARGALLA GRILL","EATING OUT",
"150097","91","67","2014-11-21","-312.00","ALCO","GROCERIES",
"150097","91","68","2014-11-25","-110.00","STAGE STORES INC.","GROCERIES",
"150097","92","69","2014-12-01","-223.00","CARDOC","CAR",
"150097","92","70","2014-12-06","-265.00","XPECT DISCOUNTS","GROCERIES",
"150097","92","71","2014-12-08","-72.00","RAPHAELS BANK","CASH",
"150097","92","72","2014-12-10","-189.00","MEDAILLE D OR","EATING OUT",
"150097","92","73","2014-12-14","-204.00","BUTERA","GROCERIES",
"150097","92","74","2014-12-19","-256.00","ONAIR INTERNET SER","TRAVEL",
"150097","92","75","2014-12-21","-186.00","GUNEET FASHIONS","SHOPPING",
"150097","92","76","2014-12-21","-308.00","HONG KONG FOOD MARKET","SHOPPING",
"150097","92","77","2014-12-23","-198.00","ELEPHANT INSURANCE SERV","INSURANCE",
"150097","92","78","2014-12-24","-224.00","MAID OF THE MIST","ENTERTAINMENT",
"150097","92","79","2014-12-28","-142.00","A&P SUPERMARKETS","SHOPPING",
"150097","93","80","2015-01-01","-161.00","BRISTOL FARMS","SHOPPING",
"150097","93","81","2015-01-01","-326.00","WESTERN FAMILY FOODS","ONLINE SHOPPING",
"150097","93","82","2015-01-03","-265.00","EL RANCHO","ONLINE SHOPPING",
"150097","93","83","2015-01-07","-270.00","ZIZZI","EATING OUT",
"150097","93","84","2015-01-08","-251.00","CIC PARIS HAUSSMAN","ACCOMODATION",
"150097","93","85","2015-01-11","-44.00","MARC'S","SHOPPING",
"150097","93","86","2015-01-13","-233.00","ROBÈRT'S FRESH MARKET","ONLINE SHOPPING",
"150097","93","87","2015-01-18","-45.00","SHOPKO","GROCERIES",
"150097","93","88","2015-01-20","-315.00","PICK N SAVE LTD","GROCERIES",
"150097","93","89","2015-01-24","-320.00","US AIRWAYS","TRAVEL",
"150097","93","90","2015-01-25","-193.00","M*KULULA CO","TRAVEL",
"150097","93","91","2015-01-27","-159.00","LION FOOD","SHOPPING",
"150097","93","92","2015-01-27","-303.00","BASILIQUE S C","EATING OUT",
"150097","94","93","2015-02-01","-157.00","SAFEWAY INC","SHOPPING",
"150097","94","94","2015-02-01","-217.00","CB PLAZA","ACCOMODATION",
"150097","94","95","2015-02-02","-98.00","RHUBARB","EATING OUT",
"150097","94","96","2015-02-05","-62.00","WICKES","SHOPPING",
"150097","94","97","2015-02-09","-53.00","NEW DEAL SUPERMARKET","SHOPPING",
"150097","94","98","2015-02-10","-151.00","TENOCHTITLAN MARKET","SHOPPING",
"150097","94","99","2015-02-10","-106.00","NEW SEASONS MARKET","SHOPPING",
"150097","94","100","2015-02-12","-306.00","L&G I LTD","INSURANCE",
"150097","94","101","2015-02-16","-179.00","HOLLYWOOD SUPER MARKET","ONLINE SHOPPING",
"150097","94","102","2015-02-18","-224.00","MCCAULOU'S DEPARTMENT STORE","ONLINE SHOPPING",
"150097","94","103","2015-02-23","-122.00","WWW.DVLA.GOV.UK","CAR",
"150097","94","104","2015-02-23","-145.00","COUNTY MARKET","ONLINE SHOPPING",
"150097","95","105","2015-03-01","-257.00","WILSON FARMS","ONLINE SHOPPING",
"150097","95","106","2015-03-05","-218.00","MARSHALLS","ONLINE SHOPPING",
"150097","95","107","2015-03-10","-287.00","POD","EATING OUT",
"150097","95","108","2015-03-13","-85.00","HANDY ANDY","SHOPPING",
"150097","95","109","2015-03-16","-302.00","EASTCOTE SERVICE ST","FUEL",
"150097","95","110","2015-03-20","-16.00","STATER BROTHERS","GROCERIES",
"150097","95","111","2015-03-22","-327.00","ROBÈRT'S FRESH MARKET","ONLINE SHOPPING",
"150097","95","112","2015-03-23","-255.00","WWW.MOUSEPRICE.COM","ONLINE SHOPPING",
"150097","95","113","2015-03-26","-233.00","MARUKAI","ONLINE SHOPPING",
"150097","96","114","2015-04-01","-32.00","WESTERN FAMILY FOODS","ONLINE SHOPPING",
"150097","96","115","2015-04-02","-61.00","JEREMYS","ONLINE SHOPPING",
"150097","96","116","2015-04-02","-240.00","SUPERIOR GROCERS","GROCERIES",
"150097","96","117","2015-04-03","-99.00","ZIZZI","EATING OUT",
"150097","96","118","2015-04-05","-204.00","CB PLAZA","ACCOMODATION",
"150097","96","119","2015-04-08","-186.00","STRAUB'S MARKETS","SHOPPING",
"150097","96","120","2015-04-13","-13.00","MURCO S/STN 455","FUEL",
"150097","96","121","2015-04-18","-7.00","ESSO ST","FUEL",
"150097","96","122","2015-04-18","-299.00","MOLESIDE SERVICE STATION","FUEL",
"150097","96","123","2015-04-23","-304.00","WA DULLES HILTON 64279","ACCOMODATION",
"150097","96","124","2015-04-27","-259.00","TJX COMPANIES","ONLINE SHOPPING",
"150097","96","125","2015-04-29","-59.00","DIPNEET JEWELLERS","SHOPPING",
"150097","96","126","2015-04-29","-17.00","GROCERY OUTLET","GROCERIES",
"150098","97","127","2014-04-30","8783.09","PAYMENT IN","PAYMENT",
"150098","98","128","2014-05-31","8783.09","PAYMENT IN","PAYMENT",
"150098","99","129","2014-06-30","8783.09","PAYMENT IN","PAYMENT",
"150098","100","130","2014-07-31","8783.09","PAYMENT IN","PAYMENT",
"150098","101","131","2014-08-31","8783.09","PAYMENT IN","PAYMENT",
"150098","102","132","2014-09-30","8783.09","PAYMENT IN","PAYMENT",
"150098","103","133","2014-10-31","8783.09","PAYMENT IN","PAYMENT",
"150098","104","134","2014-11-30","8783.09","PAYMENT IN","PAYMENT",
"150098","105","135","2014-12-31","8783.09","PAYMENT IN","PAYMENT",
"150098","106","136","2015-01-31","8783.09","PAYMENT IN","PAYMENT",
"150098","107","137","2015-02-28","8783.09","PAYMENT IN","PAYMENT",
"150098","108","138","2015-03-31","8783.09","PAYMENT IN","PAYMENT",
"150098","109","139","2015-04-30","8783.09","PAYMENT IN","PAYMENT",
"150099","110","140","2013-05-01","-26.00","VISION EXPRESS","HEALTH",
"150099","110","141","2013-05-06","-95.00","THRIFTWAY","ONLINE SHOPPING",
"150099","110","142","2013-05-06","-31.00","NORBY'S","SHOPPING",
"150099","110","143","2013-05-06","-60.00","PCC NATURAL MARKETS","SHOPPING",
"150099","110","144","2013-05-11","-25.00","STAGE","SHOPPING",
"150099","110","145","2013-05-13","-14.00","ROCHE BROS.","GROCERIES",
"150099","110","146","2013-05-18","-98.00","WHOLE FOODS MARKET","ONLINE SHOPPING",
"150099","110","147","2013-05-22","-35.00","STRADA","EATING OUT",
"150099","110","148","2013-05-26","-47.00","ROTH'S FRESH MARKETS","ONLINE SHOPPING",
"150099","110","149","2013-05-26","-50.00","SAVER'S COST PLUS","GROCERIES",
"150099","110","150","2013-05-27","-12.00","BRISTOL FARMS","SHOPPING",
"150099","110","151","2013-05-27","-87.00","FOOD EMPORIUM","ONLINE SHOPPING",
"150099","111","152","2013-06-27","190.00","REFUND","PAYMENT",
"150099","111","153","2013-06-01","-26.00","RYMAN","SHOPPING",
"150099","111","154","2013-06-03","-74.00","AFFILIATED FOOD STORES","GROCERIES",
"150099","111","155","2013-06-04","-45.00","KINGS","SHOPPING",
"150099","111","156","2013-06-04","-54.00","MARKET OF CHOICE","ONLINE SHOPPING",
"150099","111","157","2013-06-09","-39.00","RAPHAELS BANK","CASH",
"150099","111","158","2013-06-14","-84.00","HANDY ANDY","SHOPPING",
"150099","111","159","2013-06-18","-38.00","DIXONS","SHOPPING",
"150099","111","160","2013-06-19","0.00","SUPER 1 FOODS","SHOPPING",
"150099","111","161","2013-06-20","-61.00","CARDMEMBERSHIP FEE","FEES",
"150099","111","162","2013-06-20","-65.00","HEATHROW AIRPORT","TRAVEL",
"150099","111","163","2013-06-25","-2.00","99¢ ONLY STORES","ONLINE SHOPPING",
"150099","111","164","2013-06-28","-41.00","RUPALI MAIL ORDER","SHOPPING",
"150099","112","165","2013-07-28","204.00","REFUND","PAYMENT",
"150099","112","166","2013-07-01","-88.00","GREAT VALU","GROCERIES",
"150099","112","167","2013-07-02","-22.00","99 RANCH MARKET","ONLINE SHOPPING",
"150099","112","168","2013-07-03","-94.00","HIMMEL & HAV STOCKHOLM","ACCOMODATION",
"150099","112","169","2013-07-08","-37.00","FRED MEYER","SHOPPING",
"150099","112","170","2013-07-11","-61.00","DAHL'S FOODS","ONLINE SHOPPING",
"150099","112","171","2013-07-11","-92.00","COMET","SHOPPING",
"150099","112","172","2013-07-11","-10.00","CROSBY'S MARKETPLACE","ONLINE SHOPPING",
"150099","112","173","2013-07-16","-93.00","ALLIANCE LEICESTER","CASH",
"150099","112","174","2013-07-16","-10.00","TEX NORTHOLT SSTN","FUEL",
"150099","112","175","2013-07-21","-90.00","QUALITY FOODS","SHOPPING",
"150099","112","176","2013-07-25","-14.00","THE NEW YORKER HOTEL","ACCOMODATION",
"150099","112","177","2013-07-29","-19.00","ACCESS SELF STORAG","MISC",
"150099","113","178","2013-08-01","-35.00","NATURAL GROCERS BY VITAMIN COTTAGE","ONLINE SHOPPING",
"150099","113","179","2013-08-06","-58.00","TIE RACK","SHOPPING",
"150099","113","180","2013-08-08","-7.00","MANJEET FASHION","SHOPPING",
"150099","113","181","2013-08-11","-13.00","MURCO S/STN 455","FUEL",
"150099","113","182","2013-08-13","-21.00","BUTERA","GROCERIES",
"150099","113","183","2013-08-17","-1.00","SHOPKO","GROCERIES",
"150099","113","184","2013-08-19","-83.00","POST OFFICE LTD","SHOPPING",
"150099","113","185","2013-08-24","-14.00","TARGET","SHOPPING",
"150099","113","186","2013-08-27","-17.00","BEECHES ROAD SERVICE ST","FUEL",
"150099","113","187","2013-08-29","-67.00","STARBUCKS","EATING OUT",
"150099","114","188","2013-09-01","-34.00","BUTERA","GROCERIES",
"150099","114","189","2013-09-05","-76.00","ECONOFOODS","SHOPPING",
"150099","114","190","2013-09-07","-15.00","TEXACO AMSTERDAM","FUEL",
"150099","114","191","2013-09-11","-19.00","PRICERITE","GROCERIES",
"150099","114","192","2013-09-13","-31.00","ACCESS SELF STORAGE","SHOPPING",
"150099","114","193","2013-09-13","-45.00","SEAFOOD CITY","GROCERIES",
"150099","114","194","2013-09-18","-24.00","BASHAS'","SHOPPING",
"150099","114","195","2013-09-18","-36.00","THE NEW YORKER HOTEL","ACCOMODATION",
"150099","114","196","2013-09-19","-6.00","INSURETHEBOX LTD","INSURANCE",
"150099","114","197","2013-09-20","-46.00","SHAW'S AND STAR MARKET","ONLINE SHOPPING",
"150099","114","198","2013-09-20","-95.00","GREAT BARR ST","FUEL",
"150099","114","199","2013-09-25","-81.00","BT GROUP PLC","TELCO",
"150099","114","200","2013-09-26","-3.00","FRESH & EASY","ONLINE SHOPPING",
"150099","114","201","2013-09-28","-66.00","D&W FOOD CENTERS","ONLINE SHOPPING",
"150099","115","202","2013-10-01","-46.00","BEALLS","SHOPPING",
"150099","115","203","2013-10-06","-81.00","MAIDA INDIAN EATERY","EATING OUT",
"150099","115","204","2013-10-06","-88.00","RIO RANCH MARKETS","SHOPPING",
"150099","115","205","2013-10-06","-64.00","DAVID M. BRIAN","SHOPPING",
"150099","115","206","2013-10-07","-79.00","BASKETS GALORE BANGOR","SHOPPING",
"150099","115","207","2013-10-09","-72.00","JALISCO SUPERMARKET","GROCERIES",
"150099","115","208","2013-10-14","-32.00","XPECT DISCOUNTS","GROCERIES",
"150099","115","209","2013-10-15","-54.00","AA MEMBERSHIP","CAR",
"150099","115","210","2013-10-16","-66.00","TWIN CITY SUPERMARKET","ONLINE SHOPPING",
"150099","115","211","2013-10-19","-40.00","BROULIMS","ONLINE SHOPPING",
"150099","115","212","2013-10-23","-94.00","SUPERIOR GROCERS","GROCERIES",
"150099","115","213","2013-10-27","-23.00","STAHLKE'S","GROCERIES",
"150099","115","214","2013-10-27","-35.00","O2 UK PAY & GO","MOBILE",
"150099","115","215","2013-10-30","-5.00","NATIONWIDE B.S.","CASH",
"150099","116","216","2013-11-01","-94.00","TOMAH CASH MERCANTILE","ONLINE SHOPPING",
"150099","116","217","2013-11-05","-72.00","GROUPON","ONLINE SHOPPING",
"150099","116","218","2013-11-08","-53.00","HOMELAND","GROCERIES",
"150099","116","219","2013-11-10","-1.00","MCAFEE COM","ONLINE SHOPPING",
"150099","116","220","2013-11-12","-93.00","NEW DEAL MARKET","ONLINE SHOPPING",
"150099","116","221","2013-11-12","-79.00","FOODTOWN","GROCERIES",
"150099","116","222","2013-11-13","-70.00","G DESIGNERS","SHOPPING",
"150099","116","223","2013-11-13","-52.00","COUNTRY MART","GROCERIES",
"150099","116","224","2013-11-14","-25.00","EL RANCHO","ONLINE SHOPPING",
"150099","116","225","2013-11-19","-98.00","ARTEAGAS FOOD CENTER","ONLINE SHOPPING",
"150099","116","226","2013-11-21","-63.00","ASDA PETROL","FUEL",
"150099","116","227","2013-11-26","-33.00","TESCO EXPRESS","GROCERIES",
"150099","116","228","2013-11-26","-74.00","YELLOWSTONE MERCANTILE","SHOPPING",
"150099","116","229","2013-11-28","-58.00","ACME FRESH MARKET","SHOPPING",
"150099","117","230","2013-12-01","-59.00","THRIFTWAY SUPERMARKETS","ONLINE SHOPPING",
"150099","117","231","2013-12-02","-35.00","ZURICH ASSURANCE","INSURANCE",
"150099","117","232","2013-12-07","-14.00","KAM MAN FOOD","SHOPPING",
"150099","117","233","2013-12-08","-37.00","LBH CTAX/NNDR DD","TAX",
"150099","117","234","2013-12-12","-59.00","RIPLEYS LONDON","ENTERTAINMENT",
"150099","117","235","2013-12-16","-3.00","YELLOW CAB","TRAVEL",
"150099","117","236","2013-12-18","-69.00","HARVEYS","ONLINE SHOPPING",
"150099","117","237","2013-12-20","-67.00","ADMIRAL INSURANCE","INSURANCE",
"150099","117","238","2013-12-22","-25.00","GUS MAYER","GROCERIES",
"150099","117","239","2013-12-23","-51.00","FELPAUSCH","GROCERIES",
"150099","117","240","2013-12-27","-87.00","WILSON FARMS","ONLINE SHOPPING",
"150099","118","241","2014-01-01","-52.00","NORTHERN RAIL LTD","TRAVEL",
"150099","118","242","2014-01-03","-83.00","OLLIE'S BARGAIN OUTLET","GROCERIES",
"150099","118","243","2014-01-05","-25.00","MORTON WILLIAMS","ONLINE SHOPPING",
"150099","118","244","2014-01-06","-25.00","DELTA AIR LINES","TRAVEL",
"150099","118","245","2014-01-09","-83.00","PEPE`S PIRI PIRI","EATING OUT",
"150099","118","246","2014-01-11","-87.00","STATER BROTHERS","GROCERIES",
"150099","118","247","2014-01-14","-10.00","SCOT'S LO-COST","GROCERIES",
"150099","118","248","2014-01-15","-40.00","NOB HILL FOODS","GROCERIES",
"150099","118","249","2014-01-20","-99.00","SUPERIOR SUPER WAREHOUSE","GROCERIES",
"150099","118","250","2014-01-22","-18.00","LAVOGUE DEPARTMENT STORE","ONLINE SHOPPING",
"150099","118","251","2014-01-23","-62.00","HARVEST FOODS","SHOPPING",
"150099","118","252","2014-01-23","-74.00","SHOPRITE","ONLINE SHOPPING",
"150099","118","253","2014-01-26","-87.00","CAFE ROUGE","EATING OUT",
"150099","118","254","2014-01-28","-94.00","NEXT","SHOPPING",
"150099","118","255","2014-01-28","-66.00","HOTEL IBIS CRETEIL","ACCOMODATION",
"150099","118","256","2014-01-28","-15.00","THE FRESH GROCER","SHOPPING",
"150099","119","257","2014-02-28","90.00","BONUS","PAYMENT",
"150099","119","258","2014-02-01","-81.00","LOWES FOODS","ONLINE SHOPPING",
"150099","119","259","2014-02-02","-23.00","JACOBSON'S","SHOPPING",
"150099","119","260","2014-02-04","-5.00","HILL VIEW DENTAL PRACTICE","HEALTH",
"150099","119","261","2014-02-06","-78.00","JOS. KUHN & CO.","ONLINE SHOPPING",
"150099","119","262","2014-02-11","-23.00","COBORNSDELIVERS","GROCERIES",
"150099","119","263","2014-02-11","-26.00","99 RANCH MARKET","ONLINE SHOPPING",
"150099","119","264","2014-02-15","-84.00","MARKET BASKET","SHOPPING",
"150099","119","265","2014-02-20","-32.00","PRECISE PARKLINK INC","TRAVEL",
"150099","119","266","2014-02-23","-79.00","CARALUZZI'S","GROCERIES",
"150099","119","267","2014-02-23","-47.00","DUEBER'S","GROCERIES",
"150099","119","268","2014-02-26","-24.00","TOWN & COUNTRY FOOD MARKET","GROCERIES",
"150099","120","269","2014-03-26","185.00","BONUS","PAYMENT",
"150099","120","270","2014-03-01","-15.00","MOTO WOOLLEY EDGE","FUEL",
"150099","120","271","2014-03-05","-41.00","KMART SUPER CENTER","SHOPPING",
"150099","120","272","2014-03-06","-6.00","BALDUCCI'S","SHOPPING",
"150099","120","273","2014-03-11","-36.00","TESCO SELF SERVICE","ONLINE SHOPPING",
"150099","120","274","2014-03-16","-99.00","MACEY'S MARKET","ONLINE SHOPPING",
"150099","120","275","2014-03-21","-16.00","SUPER 1 FOODS","SHOPPING",
"150099","120","276","2014-03-22","-72.00","HALFORDS","CAR",
"150099","120","277","2014-03-26","-1.00","ISLAND PACIFIC SUPERMARKET","SHOPPING",
"150099","120","278","2014-03-28","-4.00","DOM & GEN","INSURANCE",
"150099","120","279","2014-03-29","-60.00","SUPER 1 FOODS","SHOPPING",
"150099","120","280","2014-03-29","-11.00","GREAT AMERICAN FOOD STORES","GROCERIES",
"150099","120","281","2014-03-29","-61.00","TFL CONGESTION","TRAVEL",
"150099","121","282","2014-04-01","-70.00","COST CUTTER","ONLINE SHOPPING",
"150099","121","283","2014-04-06","-85.00","PALAIS ROYAL","SHOPPING",
"150099","121","284","2014-04-07","-34.00","SUPERSOL","ONLINE SHOPPING",
"150099","121","285","2014-04-08","-54.00","STARBUCKS","EATING OUT",
"150099","121","286","2014-04-13","-41.00","L'ANTENNE PARIS","EATING OUT",
"150099","121","287","2014-04-14","-5.00","THRIFT WAY/SHOP N BAG","ONLINE SHOPPING",
"150099","121","288","2014-04-15","-60.00","WINN-DIXIE","ONLINE SHOPPING",
"150099","121","289","2014-04-16","-39.00","KAM MAN FOOD","SHOPPING",
"150099","121","290","2014-04-18","-61.00","NATURAL GROCERS BY VITAMIN COTTAGE","ONLINE SHOPPING",
"150099","121","291","2014-04-23","-23.00","INTEREST CHARGE FEE","FEES",
"150099","121","292","2014-04-24","-42.00","MOLLIE STONE'S","GROCERIES",
"150099","121","293","2014-04-27","-69.00","JACK 'N JILL","ONLINE SHOPPING",
"150099","122","294","2014-05-01","-75.00","WWW PARTMASTER CO","CAR",
"150099","122","295","2014-05-03","-32.00","JEREMYS","ONLINE SHOPPING",
"150099","122","296","2014-05-04","-34.00","GERLAND'S FOOD FAIR","GROCERIES",
"150099","122","297","2014-05-08","-28.00","JOS. KUHN & CO.","ONLINE SHOPPING",
"150099","122","298","2014-05-10","-90.00","SELLER'S BROS.","ONLINE SHOPPING",
"150099","122","299","2014-05-14","-53.00","HOTELL NORRTULL STOCKHOLM","ACCOMODATION",
"150099","122","300","2014-05-16","-23.00","MARIANA'S","SHOPPING",
"150099","122","301","2014-05-19","-21.00","FIRST SCOTRAIL LTD","TRAVEL",
"150099","122","302","2014-05-21","-56.00","WALMART","SHOPPING",
"150099","122","303","2014-05-25","-18.00","MARC'S","SHOPPING",
"150099","122","304","2014-05-28","-92.00","MAKRO SELF SERVICE","SHOPPING",
"150099","123","305","2014-06-28","50.00","REFUND","PAYMENT",
"150099","123","306","2014-06-01","-36.00","PRO'S RANCH MARKET","GROCERIES",
"150099","123","307","2014-06-03","-46.00","INDULGE DESSERT","EATING OUT",
"150099","123","308","2014-06-04","-67.00","DECICCO'S","ONLINE SHOPPING",
"150099","123","309","2014-06-05","0.00","FRESH & EASY","ONLINE SHOPPING",
"150099","123","310","2014-06-10","-74.00","KEG #500 RICHMOND HILL","EATING OUT",
"150099","123","311","2014-06-10","-1.00","BUEHLER'S","SHOPPING",
"150099","123","312","2014-06-11","-98.00","CAM ASIAN MARKET","ONLINE SHOPPING",
"150099","123","313","2014-06-13","-83.00","E-VISA TURKEY","TRAVEL",
"150099","123","314","2014-06-13","-89.00","KING KULLEN","SHOPPING",
"150099","123","315","2014-06-16","-8.00","WEAVER'S","ONLINE SHOPPING",
"150099","123","316","2014-06-19","-45.00","WEIS MARKETS","GROCERIES",
"150099","123","317","2014-06-24","-14.00","FOUNDERS ARMS","EATING OUT",
"150099","123","318","2014-06-26","-33.00","INTEREST CHARGE","SHOPPING",
"150099","123","319","2014-06-27","-86.00","OYSTER RENEW WEB","TRAVEL",
"150099","124","320","2014-07-27","213.00","PAYMENT","PAYMENT",
"150099","124","321","2014-07-01","-51.00","PATEL BROTHERS","ONLINE SHOPPING",
"150099","124","322","2014-07-01","-13.00","RED APPLE","SHOPPING",
"150099","124","323","2014-07-03","-29.00","HAMMERHEAD COYOTE","EATING OUT",
"150099","124","324","2014-07-05","-17.00","MARSHALLS","ONLINE SHOPPING",
"150099","124","325","2014-07-09","-18.00","VODAFONE PAYG","MOBILE",
"150099","124","326","2014-07-13","-93.00","MET FOODS","ONLINE SHOPPING",
"150099","124","327","2014-07-14","-91.00","MARKET OF CHOICE","ONLINE SHOPPING",
"150099","124","328","2014-07-14","-82.00","NEILSON'S","ONLINE SHOPPING",
"150099","124","329","2014-07-14","-52.00","THE FRESH GROCER","SHOPPING",
"150099","124","330","2014-07-18","-62.00","TRIG'S","SHOPPING",
"150099","124","331","2014-07-22","-85.00","YELLOWSTONE MERCANTILE","SHOPPING",
"150099","124","332","2014-07-23","-73.00","SELLER'S BROS.","ONLINE SHOPPING",
"150099","124","333","2014-07-26","-97.00","SUPERIOR SUPER WAREHOUSE","GROCERIES",
"150099","124","334","2014-07-26","-44.00","CARDENAS SUPERMARKETS","SHOPPING",
"150099","124","335","2014-07-30","-14.00","HALIFAX PLC","CASH",
"150099","125","336","2014-08-01","-25.00","AFFINITY WATER","UTILITIES",
"150099","125","337","2014-08-01","-90.00","GREENHILL SERVICE ST","FUEL",
"150099","125","338","2014-08-03","0.00","THE FRESH GROCER","SHOPPING",
"150099","125","339","2014-08-06","-29.00","SMRT TAXIS","TRAVEL",
"150099","125","340","2014-08-09","-33.00","NEXT","SHOPPING",
"150099","125","341","2014-08-13","-76.00","HAGGEN FOOD & PHARMACY","GROCERIES",
"150099","125","342","2014-08-16","-72.00","ESSO ST","FUEL",
"150099","125","343","2014-08-17","-29.00","KEG 500 RICHMOND HILL","EATING OUT",
"150099","125","344","2014-08-17","-59.00","AMIT JEWELLERY","SHOPPING",
"150099","125","345","2014-08-17","-19.00","BLOCKBUSTER","ENTERTAINMENT",
"150099","125","346","2014-08-17","-7.00","LUNDS","GROCERIES",
"150099","125","347","2014-08-20","-90.00","GREAT AMERICAN FOOD STORES","GROCERIES",
"150099","125","348","2014-08-20","-88.00","CENTRAL GROCERS COOPERATIVE","SHOPPING",
"150099","125","349","2014-08-22","-63.00","FORMAN MILLS","ONLINE SHOPPING",
