"ACCID","STATEMENTID","YEAR","MONTH","OPENING_BALANCE","CLOSING_BALANCE","MIN_PAYMENT","TXN_COUNT",
"150099","121","2014","04","-422.00","-583.00","9.71","12",
"150099","122","2014","05","-583.00","-522.00","8.70","11",
"150099","123","2014","06","-522.00","-680.00","11.33","15",
"150099","124","2014","07","-680.00","-821.00","13.68","16",
"150099","125","2014","08","-821.00","-827.00","13.78","16",
"150099","126","2014","09","-827.00","-655.00","10.91","16",
"150099","127","2014","10","-655.00","-627.00","10.44","11",
"150099","128","2014","11","-627.00","-774.00","12.89","14",
"150099","129","2014","12","-774.00","-538.00","8.96","11",
"150099","130","2015","01","-538.00","-515.00","8.58","12",
"150099","131","2015","02","-515.00","-360.00","6.00","8",
"150099","132","2015","03","-360.00","-906.00","15.09","18",
"150099","133","2015","04","-906.00","-497.00","8.28","10",
"150100","134","2014","06","0.00","-993.00","12.00","15",
"150100","135","2014","07","-993.00","-532.00","6.43","11",
"150100","136","2014","08","-532.00","-850.00","10.27","14",
"150100","137","2014","09","-850.00","-776.00","9.38","14",
"150100","138","2014","10","-776.00","-667.00","8.06","14",
"150100","139","2014","11","-667.00","-711.00","8.59","14",
"150100","140","2014","12","-711.00","-687.00","8.30","13",
"150100","141","2015","01","-687.00","-552.00","6.67","10",
"150100","142","2015","02","-552.00","-417.00","5.04","9",
"150100","143","2015","03","-417.00","-600.00","7.25","12",
"150100","144","2015","04","-600.00","-521.00","6.30","11",
"150101","145","2014","05","0.00","-2195.00","0.00","11",
"150101","146","2014","06","-2195.00","-1913.00","0.00","13",
"150101","147","2014","07","-1913.00","-2485.00","0.00","14",
"150101","148","2014","08","-2485.00","-1712.00","0.00","13",
"150101","149","2014","09","-1712.00","-1716.00","0.00","10",
"150101","150","2014","10","-1716.00","-2129.00","0.00","16",
"150101","151","2014","11","-2129.00","-1975.00","0.00","12",
"150101","152","2014","12","-1975.00","-1948.00","0.00","10",
"150101","153","2015","01","-1948.00","-3629.00","0.00","20",
"150101","154","2015","02","-3629.00","-1798.00","0.00","12",
"150101","155","2015","03","-1798.00","-2655.00","0.00","14",
"150101","156","2015","04","-2655.00","-1508.00","0.00","11",
"150102","157","2013","09","0.00","-531.00","13.27","12",
"150102","158","2013","10","-531.00","-627.00","15.67","12",
"150102","159","2013","11","-627.00","-582.00","14.55","13",
"150102","160","2013","12","-582.00","-420.00","10.50","10",
"150102","161","2014","01","-420.00","-596.00","14.90","14",
"150102","162","2014","02","-596.00","-625.00","15.62","11",
"150102","163","2014","03","-625.00","-697.00","17.42","10",
"150102","164","2014","04","-697.00","-568.00","14.20","11",
"150102","165","2014","05","-568.00","-770.00","19.24","14",
"150102","166","2014","06","-770.00","-551.00","13.77","12",
"150102","167","2014","07","-551.00","-565.00","14.12","12",
"150102","168","2014","08","-565.00","-703.00","17.57","13",
"150102","169","2014","09","-703.00","-489.00","12.22","12",
"150102","170","2014","10","-489.00","-965.00","24.12","17",
"150102","171","2014","11","-965.00","-668.00","16.69","15",
"150102","172","2014","12","-668.00","-630.00","15.74","12",
"150102","173","2015","01","-630.00","-807.00","20.17","14",
"150102","174","2015","02","-807.00","-356.00","8.90","9",
"150102","175","2015","03","-356.00","-747.00","18.67","15",
"150102","176","2015","04","-747.00","-550.00","13.75","12",
"150103","177","2013","11","0.00","-2286.00","0.00","13",
"150103","178","2013","12","-2286.00","-2188.00","0.00","11",
"150103","179","2014","01","-2188.00","-2041.00","0.00","12",
"150103","180","2014","02","-2041.00","-2927.00","0.00","14",
"150103","181","2014","03","-2927.00","-1210.00","0.00","9",
"150103","182","2014","04","-1210.00","-2006.00","0.00","13",
"150103","183","2014","05","-2006.00","-2432.00","0.00","10",
"150103","184","2014","06","-2432.00","-2357.00","0.00","12",
"150103","185","2014","07","-2357.00","-1248.00","0.00","10",
"150103","186","2014","08","-1248.00","-2767.00","0.00","16",
"150103","187","2014","09","-2767.00","-2627.00","0.00","14",
"150103","188","2014","10","-2627.00","-1447.00","0.00","8",
"150103","189","2014","11","-1447.00","-1898.00","0.00","11",
"150103","190","2014","12","-1898.00","-2262.00","0.00","11",
"150103","191","2015","01","-2262.00","-2254.00","0.00","13",
"150103","192","2015","02","-2254.00","-2854.00","0.00","12",
"150103","193","2015","03","-2854.00","-2314.00","0.00","11",
"150103","194","2015","04","-2314.00","-1195.00","0.00","8",
"150104","195","2013","06","0.00","-9130.16","869.84","1",
"150104","196","2013","07","-9130.16","-8260.32","869.84","1",
"150104","197","2013","08","-8260.32","-7390.49","869.84","1",
"150104","198","2013","09","-7390.49","-6520.65","869.84","1",
"150104","199","2013","10","-6520.65","-5650.81","869.84","1",
"150104","200","2013","11","-5650.81","-4780.97","869.84","1",
"150104","201","2013","12","-4780.97","-3911.13","869.84","1",
"150104","202","2014","01","-3911.13","-3041.30","869.84","1",
"150104","203","2014","02","-3041.30","-2171.46","869.84","1",
"150104","204","2014","03","-2171.46","-1301.62","869.84","1",
"150104","205","2014","04","-1301.62","-431.78","869.84","1",
"150104","206","2014","05","-431.78","438.06","869.84","1",
"150104","207","2014","06","438.06","0.00","0.00","0",
"150105","208","2013","06","0.00","92.00","0.00","3",
"150105","209","2013","07","92.00","191.12","0.00","2",
"150105","210","2013","08","191.12","49.24","0.00","3",
"150105","211","2013","09","49.24","191.06","0.00","2",
"150105","212","2013","10","191.06","-198.76","0.00","3",
"150105","213","2013","11","-198.76","190.75","0.00","2",
"150105","214","2013","12","190.75","191.24","0.00","2",
"150105","215","2014","01","191.24","191.24","0.00","2",
"150105","216","2014","02","191.24","-172.76","0.00","3",
"150105","217","2014","03","-172.76","190.78","0.00","2",
"150105","218","2014","04","190.78","191.24","0.00","2",
"150105","219","2014","05","191.24","191.24","0.00","2",
"150105","220","2014","06","191.24","-248.76","0.00","3",
"150105","221","2014","07","-248.76","190.69","0.00","2",
"150105","222","2014","08","190.69","191.24","0.00","2",
"150105","223","2014","09","191.24","191.24","0.00","2",
"150105","224","2014","10","191.24","-77.76","0.00","3",
"150105","225","2014","11","-77.76","190.90","0.00","2",
"150105","226","2014","12","190.90","191.24","0.00","2",
"150105","227","2015","01","191.24","191.24","0.00","2",
"150105","228","2015","02","191.24","-137.76","0.00","3",
"150105","229","2015","03","-137.76","190.83","0.00","2",
"150105","230","2015","04","190.83","191.24","0.00","2",
"150106","231","2014","05","0.00","-298654.15","1345.85","1",
"150106","232","2014","06","-298654.15","-297308.30","1345.85","1",
"150106","233","2014","07","-297308.30","-295962.45","1345.85","1",
"150106","234","2014","08","-295962.45","-294616.60","1345.85","1",
"150106","235","2014","09","-294616.60","-293270.75","1345.85","1",
"150106","236","2014","10","-293270.75","-291924.90","1345.85","1",
"150106","237","2014","11","-291924.90","-290579.05","1345.85","1",
"150106","238","2014","12","-290579.05","-289233.20","1345.85","1",
"150106","239","2015","01","-289233.20","-287887.35","1345.85","1",
"150106","240","2015","02","-287887.35","-286541.50","1345.85","1",
"150106","241","2015","03","-286541.50","-285195.65","1345.85","1",
"150106","242","2015","04","-285195.65","-283849.80","1345.85","1",
"150107","243","2015","03","0.00","-2077.00","0.00","11",
"150107","244","2015","04","-2077.00","-2266.00","0.00","14",
"150108","245","2014","03","0.00","-676.00","13.72","14",
"150108","246","2014","04","-676.00","-655.00","13.29","15",
"150108","247","2014","05","-655.00","-1025.00","20.80","18",
"150108","248","2014","06","-1025.00","-792.00","16.07","14",
"150108","249","2014","07","-792.00","-1001.00","20.31","16",
"150108","250","2014","08","-1001.00","-683.00","13.86","17",
"150108","251","2014","09","-683.00","-604.00","12.26","16",
"150108","252","2014","10","-604.00","-418.00","8.48","13",
"150108","253","2014","11","-418.00","-614.00","12.46","12",
"150108","254","2014","12","-614.00","-309.00","6.27","9",
"150108","255","2015","01","-309.00","-690.00","14.00","18",
"150108","256","2015","02","-690.00","-390.00","7.91","10",
"150108","257","2015","03","-390.00","-477.00","9.68","10",
"150108","258","2015","04","-477.00","-428.00","8.68","11",
"150109","259","2014","11","0.00","-402.00","5.00","13",
"150109","260","2014","12","-402.00","-569.00","6.88","10",
"150109","261","2015","01","-569.00","-531.00","6.42","13",
"150109","262","2015","02","-531.00","-474.00","5.73","10",
"150109","263","2015","03","-474.00","-1053.00","12.72","16",
"150109","264","2015","04","-1053.00","-527.00","6.37","15",
"150110","265","2013","05","0.00","-498024.40","1975.60","1",
"150110","266","2013","06","-498024.40","-496048.79","1975.60","1",
"150110","267","2013","07","-496048.79","-494073.19","1975.60","1",
"150110","268","2013","08","-494073.19","-492097.58","1975.60","1",
"150110","269","2013","09","-492097.58","-490121.98","1975.60","1",
"150110","270","2013","10","-490121.98","-488146.37","1975.60","1",
"150110","271","2013","11","-488146.37","-486170.77","1975.60","1",
"150110","272","2013","12","-486170.77","-484195.16","1975.60","1",
"150110","273","2014","01","-484195.16","-482219.56","1975.60","1",
"150110","274","2014","02","-482219.56","-480243.96","1975.60","1",
"150110","275","2014","03","-480243.96","-478268.35","1975.60","1",
"150110","276","2014","04","-478268.35","-476292.75","1975.60","1",
"150110","277","2014","05","-476292.75","-474317.14","1975.60","1",
"150110","278","2014","06","-474317.14","-472341.54","1975.60","1",
"150110","279","2014","07","-472341.54","-470365.93","1975.60","1",
"150110","280","2014","08","-470365.93","-468390.33","1975.60","1",
"150110","281","2014","09","-468390.33","-466414.72","1975.60","1",
"150110","282","2014","10","-466414.72","-464439.12","1975.60","1",
"150110","283","2014","11","-464439.12","-462463.51","1975.60","1",
"150110","284","2014","12","-462463.51","-460487.91","1975.60","1",
"150110","285","2015","01","-460487.91","-458512.31","1975.60","1",
"150110","286","2015","02","-458512.31","-456536.70","1975.60","1",
"150110","287","2015","03","-456536.70","-454561.10","1975.60","1",
"150110","288","2015","04","-454561.10","-452585.49","1975.60","1",
"150111","289","2013","09","0.00","-3311.00","0.00","15",
"150111","290","2013","10","-3311.00","-1646.00","0.00","9",
"150111","291","2013","11","-1646.00","-2006.00","0.00","12",
"150111","292","2013","12","-2006.00","-1801.00","0.00","10",
"150111","293","2014","01","-1801.00","-1913.00","0.00","11",
"150111","294","2014","02","-1913.00","-1295.00","0.00","8",
"150111","295","2014","03","-1295.00","-2148.00","0.00","12",
"150111","296","2014","04","-2148.00","-1893.00","0.00","11",
"150111","297","2014","05","-1893.00","-1828.00","0.00","9",
"150111","298","2014","06","-1828.00","-1680.00","0.00","9",
"150111","299","2014","07","-1680.00","-2557.00","0.00","16",
"150111","300","2014","08","-2557.00","-2160.00","0.00","12",
"150111","301","2014","09","-2160.00","-1251.00","0.00","9",
"150111","302","2014","10","-1251.00","-1631.00","0.00","14",
"150111","303","2014","11","-1631.00","-2349.00","0.00","13",
"150111","304","2014","12","-2349.00","-2724.00","0.00","17",
"150111","305","2015","01","-2724.00","-3041.00","0.00","18",
"150111","306","2015","02","-3041.00","-1455.00","0.00","8",
"150111","307","2015","03","-1455.00","-2551.00","0.00","11",
"150111","308","2015","04","-2551.00","-2283.00","0.00","13",
"150112","309","2013","12","0.00","-518.00","12.07","13",
"150112","310","2014","01","-518.00","-719.00","16.75","13",
"150112","311","2014","02","-719.00","-617.00","14.37","10",
"150112","312","2014","03","-617.00","-502.00","11.69","10",
"150112","313","2014","04","-502.00","-720.00","16.77","12",
"150112","314","2014","05","-720.00","-780.00","18.17","16",
"150112","315","2014","06","-780.00","-387.00","9.01","9",
"150112","316","2014","07","-387.00","-572.00","13.32","12",
"150112","317","2014","08","-572.00","-775.00","18.05","16",
"150112","318","2014","09","-775.00","-406.00","9.46","11",
"150112","319","2014","10","-406.00","-736.00","17.14","13",
"150112","320","2014","11","-736.00","-435.00","10.13","13",
"150112","321","2014","12","-435.00","-315.00","7.34","11",
"150112","322","2015","01","-315.00","-754.00","17.56","12",
"150112","323","2015","02","-754.00","-413.00","9.62","11",
"150112","324","2015","03","-413.00","-405.00","9.43","12",
"150112","325","2015","04","-405.00","-522.00","12.16","12",
"150113","326","2014","05","0.00","-742082.76","7917.24","1",
"150113","327","2014","06","-742082.76","-734165.52","7917.24","1",
"150113","328","2014","07","-734165.52","-726248.28","7917.24","1",
"150113","329","2014","08","-726248.28","-718331.04","7917.24","1",
"150113","330","2014","09","-718331.04","-710413.81","7917.24","1",
"150113","331","2014","10","-710413.81","-702496.57","7917.24","1",
"150113","332","2014","11","-702496.57","-694579.33","7917.24","1",
"150113","333","2014","12","-694579.33","-686662.09","7917.24","1",
"150113","334","2015","01","-686662.09","-678744.85","7917.24","1",
"150113","335","2015","02","-678744.85","-670827.61","7917.24","1",
"150113","336","2015","03","-670827.61","-662910.37","7917.24","1",
"150113","337","2015","04","-662910.37","-654993.13","7917.24","1",
"150114","338","2015","03","0.00","849.00","0.00","2",
"150114","339","2015","04","849.00","850.06","0.00","2",
"150115","340","2015","04","0.00","-816.00","20.39","13",
"150116","341","2013","06","0.00","-677.00","16.92","11",
"150116","342","2013","07","-677.00","-193.00","5.00","8",
"150116","343","2013","08","-193.00","-816.00","20.39","17",
"150116","344","2013","09","-816.00","-543.00","13.57","13",
"150116","345","2013","10","-543.00","-812.00","20.29","18",
"150116","346","2013","11","-812.00","-727.00","18.17","14",
"150116","347","2013","12","-727.00","-404.00","10.10","13",
"150116","348","2014","01","-404.00","-551.00","13.77","12",
"150116","349","2014","02","-551.00","-719.00","17.97","12",
"150116","350","2014","03","-719.00","-556.00","13.90","15",
"150116","351","2014","04","-556.00","-617.00","15.42","10",
"150116","352","2014","05","-617.00","-496.00","12.40","12",
"150116","353","2014","06","-496.00","-560.00","14.00","12",
"150116","354","2014","07","-560.00","-709.00","17.72","13",
"150116","355","2014","08","-709.00","-409.00","10.22","10",
"150116","356","2014","09","-409.00","-674.00","16.84","14",
"150116","357","2014","10","-674.00","-687.00","17.17","12",
"150116","358","2014","11","-687.00","-446.00","11.15","10",
"150116","359","2014","12","-446.00","-539.00","13.47","11",
"150116","360","2015","01","-539.00","-848.00","21.19","17",
"150116","361","2015","02","-848.00","-405.00","10.12","8",
"150116","362","2015","03","-405.00","-455.00","11.37","9",
"150116","363","2015","04","-455.00","-707.00","17.67","15",
"150117","364","2013","11","0.00","-398419.52","1580.48","1",
"150117","365","2013","12","-398419.52","-396839.03","1580.48","1",
"150117","366","2014","01","-396839.03","-395258.55","1580.48","1",
"150117","367","2014","02","-395258.55","-393678.07","1580.48","1",
"150117","368","2014","03","-393678.07","-392097.58","1580.48","1",
"150117","369","2014","04","-392097.58","-390517.10","1580.48","1",
"150117","370","2014","05","-390517.10","-388936.61","1580.48","1",
"150117","371","2014","06","-388936.61","-387356.13","1580.48","1",
"150117","372","2014","07","-387356.13","-385775.65","1580.48","1",
"150117","373","2014","08","-385775.65","-384195.16","1580.48","1",
"150117","374","2014","09","-384195.16","-382614.68","1580.48","1",
"150117","375","2014","10","-382614.68","-381034.20","1580.48","1",
"150117","376","2014","11","-381034.20","-379453.71","1580.48","1",
"150117","377","2014","12","-379453.71","-377873.23","1580.48","1",
"150117","378","2015","01","-377873.23","-376292.75","1580.48","1",
"150117","379","2015","02","-376292.75","-374712.26","1580.48","1",
"150117","380","2015","03","-374712.26","-373131.78","1580.48","1",
"150117","381","2015","04","-373131.78","-371551.30","1580.48","1",
"150118","382","2014","12","0.00","-775.00","9.36","14",
"150118","383","2015","01","-775.00","-531.00","6.42","13",
"150118","384","2015","02","-531.00","-571.00","6.90","13",
"150118","385","2015","03","-571.00","-647.00","7.82","13",
"150118","386","2015","04","-647.00","-611.00","7.38","13",
"150119","387","2013","11","0.00","-2429.00","0.00","16",
"150119","388","2013","12","-2429.00","-2588.00","0.00","13",
"150119","389","2014","01","-2588.00","-2258.00","0.00","12",
"150119","390","2014","02","-2258.00","-1298.00","0.00","7",
"150119","391","2014","03","-1298.00","-3477.00","0.00","17",
"150119","392","2014","04","-3477.00","-2326.00","0.00","12",
"150119","393","2014","05","-2326.00","-2963.00","0.00","14",
"150119","394","2014","06","-2963.00","-1667.00","0.00","11",
"150119","395","2014","07","-1667.00","-2434.00","0.00","15",
"150119","396","2014","08","-2434.00","-3464.00","0.00","18",
"150119","397","2014","09","-3464.00","-1495.00","0.00","9",
"150119","398","2014","10","-1495.00","-1539.00","0.00","12",
"150119","399","2014","11","-1539.00","-2819.00","0.00","15",
"150119","400","2014","12","-2819.00","-2164.00","0.00","11",
"150119","401","2015","01","-2164.00","-1658.00","0.00","10",
"150119","402","2015","02","-1658.00","-1938.00","0.00","10",
"150119","403","2015","03","-1938.00","-2773.00","0.00","16",
"150119","404","2015","04","-2773.00","-2388.00","0.00","12",
"150120","405","2013","12","0.00","-1483116.25","16883.75","1",
"150120","406","2014","01","-1483116.25","-1466232.50","16883.75","1",
"150120","407","2014","02","-1466232.50","-1449348.74","16883.75","1",
"150120","408","2014","03","-1449348.74","-1432464.99","16883.75","1",
"150120","409","2014","04","-1432464.99","-1415581.24","16883.75","1",
"150120","410","2014","05","-1415581.24","-1398697.49","16883.75","1",
"150120","411","2014","06","-1398697.49","-1381813.74","16883.75","1",
"150120","412","2014","07","-1381813.74","-1364929.98","16883.75","1",
"150120","413","2014","08","-1364929.98","-1348046.23","16883.75","1",
"150120","414","2014","09","-1348046.23","-1331162.48","16883.75","1",
"150120","415","2014","10","-1331162.48","-1314278.73","16883.75","1",
"150120","416","2014","11","-1314278.73","-1297394.98","16883.75","1",
"150120","417","2014","12","-1297394.98","-1280511.22","16883.75","1",
"150120","418","2015","01","-1280511.22","-1263627.47","16883.75","1",
"150120","419","2015","02","-1263627.47","-1246743.72","16883.75","1",
"150120","420","2015","03","-1246743.72","-1229859.97","16883.75","1",
"150120","421","2015","04","-1229859.97","-1212976.22","16883.75","1",
"150121","422","2014","03","0.00","-2227.00","0.00","12",
"150121","423","2014","04","-2227.00","-2154.00","0.00","12",
"150121","424","2014","05","-2154.00","-2474.00","0.00","12",
"150121","425","2014","06","-2474.00","-2635.00","0.00","15",
"150121","426","2014","07","-2635.00","-2051.00","0.00","12",
"150121","427","2014","08","-2051.00","-2245.00","0.00","12",
"150121","428","2014","09","-2245.00","-2229.00","0.00","12",
"150121","429","2014","10","-2229.00","-2642.00","0.00","14",
"150121","430","2014","11","-2642.00","-2328.00","0.00","14",
"150121","431","2014","12","-2328.00","-1928.00","0.00","11",
"150121","432","2015","01","-1928.00","-2464.00","0.00","13",
"150121","433","2015","02","-2464.00","-1700.00","0.00","11",
"150121","434","2015","03","-1700.00","-1110.00","0.00","12",
"150121","435","2015","04","-1110.00","-1642.00","0.00","12",
"150122","436","2015","02","0.00","-144730.15","5269.85","1",
"150122","437","2015","03","-144730.15","-139460.29","5269.85","1",
"150122","438","2015","04","-139460.29","-134190.44","5269.85","1",
"150123","439","2013","12","0.00","448.00","0.00","3",
"150123","440","2014","01","448.00","135.56","0.00","3",
"150123","441","2014","02","135.56","13.17","0.00","3",
"150123","442","2014","03","13.17","288.02","0.00","3",
"150123","443","2014","04","288.02","576.36","0.00","2",
"150123","444","2014","05","576.36","158.72","0.00","3",
"150123","445","2014","06","158.72","576.20","0.00","2",
"150123","446","2014","07","576.20","576.72","0.00","2",
"150123","447","2014","08","576.72","576.72","0.00","2",
"150123","448","2014","09","576.72","306.72","0.00","3",
"150123","449","2014","10","306.72","576.38","0.00","2",
"150123","450","2014","11","576.38","-2.28","0.00","3",
"150123","451","2014","12","-2.28","576.00","0.00","2",
"150123","452","2015","01","576.00","563.72","0.00","3",
"150123","453","2015","02","563.72","576.70","0.00","2",
"150123","454","2015","03","576.70","576.72","0.00","2",
"150123","455","2015","04","576.72","576.72","0.00","2",
